""
NÚMERO DE DENUNCIAS DE DELITOS DE MAYOR INCIDENCIA -ROBO A UNIDADES ECONÓMICAS- SEGÚN CANTÓN DE OCURRENCIA POR AÑO Y MES (2014 - 2026);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROVINCIA DE OCURRENCIA;CÓDIGO CANTÓN_DPA;CANTÓN DE OCURRENCIA;ENE-14;FEB-14;MAR-14;ABR-14;MAY-14;JUN-14;JUL-14;AGO-14;SEP-14;OCT-14;NOV-14;DIC-14;ENE-15;FEB-15;MAR-15;ABR-15;MAY-15;JUN-15;JUL-15;AGO-15;SEP-15;OCT-15;NOV-15;DIC-15;ENE-16;FEB-16;MAR-16;ABR-16;MAY-16;JUN-16;JUL-16;AGO-16;SEP-16;OCT-16;NOV-16;DIC-16;ENE-17;FEB-17;MAR-17;ABR-17;MAY-17;JUN-17;JUL-17;AGO-17;SEP-17;OCT-17;NOV-17;DIC-17;ENE-18;FEB-18;MAR-18;ABR-18;MAY-18;JUN-18;JUL-18;AGO-18;SEP-18;OCT-18;NOV-18;DIC-18;ENE-19;FEB-19;MAR-19;ABR-19;MAY-19;JUN-19;JUL-19;AGO-19;SEP-19;OCT-19;NOV-19;DIC-19;ENE-20;FEB-20;MAR-20;ABR-20;MAY-20;JUN-20;JUL-20;AGO-20;SEP-20;OCT-20;NOV-20;DIC-20;ENE-21;FEB-21;MAR-21;ABR-21;MAY-21;JUN-21;JUL-21;AGO-21;SEP-21;OCT-21;NOV-21;DIC-21;ENE-22;FEB-22;MAR-22;ABR-22;MAY-22;JUN-22;JUL-22;AGO-22;SEP-22;OCT-22;NOV-22;DIC-22;ENE-23;FEB-23;MAR-23;ABR-23;MAY-23;JUN-23;JUL-23;AGO-23;SEP-23;OCT-23;NOV-23;DIC-23;ENE-24;FEB-24;MAR-24;ABR-24;MAY-24;JUN-24;JUL-24;AGO-24;SEP-24;OCT-24;NOV-24;DIC-24;ENE-25;FEB-25;MAR-25;ABR-25;MAY-25;JUN-25;JUL-25;AGO-25;SEP-25;OCT-25;NOV-25;DIC-25;ENE-26;FEB-26
AZUAY;0101;CUENCA;16;12;19;23;25;18;8;22;22;22;17;19;25;19;23;24;22;23;28;17;22;14;16;12;23;16;29;21;13;14;18;14;14;21;18;21;20;13;10;20;25;24;25;14;20;13;19;21;19;18;20;30;16;20;19;17;23;14;18;25;18;29;23;17;30;28;20;27;18;16;18;23;32;13;8;0;8;12;12;14;12;8;10;6;10;8;13;15;14;20;17;21;7;12;10;20;15;11;8;19;24;18;35;14;20;19;14;15;11;11;5;15;10;7;14;6;11;11;14;8;8;7;6;10;14;8;16;10;7;21;19;15;13;9;7;7;9;12;13;8;11;13;9;14;7;7
AZUAY;0102;GIRON;0;0;1;1;2;0;0;0;1;1;2;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
AZUAY;0103;GUALACEO;1;1;5;1;4;3;0;2;4;2;0;1;5;2;1;1;1;2;0;0;2;0;3;1;0;1;1;1;0;0;2;1;0;2;0;1;0;0;1;0;1;0;1;1;0;2;0;0;0;1;3;2;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;2;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;1;4;2;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0
AZUAY;0104;NABON;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
AZUAY;0105;PAUTE;3;2;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AZUAY;0106;PUCARA;0;0;0;4;1;0;0;2;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AZUAY;0107;SAN FERNANDO;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AZUAY;0108;SANTA ISABEL;0;0;0;3;1;1;0;0;1;0;0;2;1;0;1;0;0;0;0;0;1;0;1;0;2;0;2;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;1;0;1;0;1;1;1;0;1;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;1;0;0
AZUAY;0109;SIGSIG;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AZUAY;0110;OÑA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
